,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
56834,Vacant/Abandoned Building,17-00042635,2017-01-03,Front,,Open,,Vacant,False,False,2943.0,W,WASHINGTON,BLVD,60612.0,1156751.50731015,1900541.04760944,27.0,12.0,27.0,41.88286068279903,-87.69986160798479,"(41.88286068279902, -87.6998616079848)"
56841,Vacant/Abandoned Building,17-00068420,2017-01-04,Front,,Open,,Vacant,False,False,8022.0,S,EMERALD,AVE,60620.0,1172695.69198638,1851676.4341771998,21.0,6.0,71.0,41.74843357911536,-87.6427562193056,"(41.748433579115364, -87.6427562193056)"
56842,Vacant/Abandoned Building,17-00068968,2017-01-04,Front,,Open,,Vacant,False,False,7801.0,S,UNION,AVE,60620.0,1172986.71356718,1853145.70597247,6.0,6.0,71.0,41.75245903397721,-87.64164653602171,"(41.75245903397721, -87.64164653602171)"
56843,Vacant/Abandoned Building,17-00070421,2017-01-04,Front,,Open,,Vacant,False,False,7209.0,S,CARPENTER,ST,60621.0,1170560.33157355,1857013.27000032,6.0,7.0,68.0,41.763125314204785,-87.65042567766548,"(41.76312531420479, -87.65042567766548)"
56844,Vacant/Abandoned Building,17-00070425,2017-01-04,Front,,Open,,Vacant,False,False,6352.0,S,EVANS,AVE,60637.0,1182311.47592862,1863053.65278791,20.0,3.0,42.0,41.77943663258024,-87.60716897854887,"(41.779436632580236, -87.60716897854888)"
56845,Vacant/Abandoned Building,17-00098413,2017-01-06,Front,,Open,,Vacant,False,False,414.0,W,ENGLEWOOD,AVE,60621.0,1174603.78002794,1863499.66002127,20.0,7.0,68.0,41.78083566084043,-87.63541282119955,"(41.78083566084043, -87.63541282119954)"
56846,Vacant/Abandoned Building,17-00101874,2017-01-06,Front,,Open,,Vacant,True,False,2054.0,N,PULASKI,RD,60639.0,1149379.19237381,1913437.97012026,26.0,25.0,20.0,41.918397291772216,-87.72659828844799,"(41.918397291772216, -87.72659828844799)"
56848,Vacant/Abandoned Building,17-00017391,2017-01-02,Rear,,Open,BACK DOOR,Vacant,False,True,632.0,N,LATROBE,AVE,60644.0,1141249.76017514,1903678.16579461,37.0,15.0,25.0,41.891769211507615,-87.7567078458405,"(41.891769211507615, -87.75670784584048)"
56856,Vacant/Abandoned Building,17-00118792,2017-01-07,Front,,Open,FRONT ENTRANCE DOOR OPEN,Vacant,False,False,6008.0,S,MAY,ST,60621.0,1169679.72490049,1864953.56850407,16.0,7.0,68.0,41.78493361032161,-87.65342317898279,"(41.78493361032161, -87.6534231789828)"
56857,Vacant/Abandoned Building,17-00136514,2017-01-09,Front,,Open,,Vacant,True,False,4834.0,S,SEELEY,AVE,60609.0,1163507.61017487,1872600.91333367,15.0,9.0,61.0,41.80605058523871,-87.67583839331904,"(41.80605058523871, -87.67583839331903)"
56860,Vacant/Abandoned Building,17-00144558,2017-01-09,Rear,,Open,REAR,Vacant,False,False,1422.0,N,BOSWORTH,AVE,60642.0,1165808.70493422,1909557.1717123,2.0,14.0,24.0,41.90741330610707,-87.66634589823559,"(41.907413306107074, -87.66634589823559)"
56863,Vacant/Abandoned Building,17-00145159,2017-01-09,Front,,Open,FRONT DOOR AND WINDOW,Vacant,False,False,10403.0,S,COTTAGE GROVE,AVE,60628.0,1182600.19051182,1836113.36998366,9.0,5.0,50.0,41.7055028227511,-87.60694422324984,"(41.7055028227511, -87.60694422324983)"
56864,Vacant/Abandoned Building,17-00183419,2017-01-11,Rear,,Open,,Vacant,False,False,7717.0,S,SAGINAW,AVE,60649.0,1195262.44507587,1854308.2930192002,7.0,4.0,43.0,41.755128836496155,-87.55997839741427,"(41.75512883649616, -87.55997839741427)"
56865,Vacant/Abandoned Building,17-00293866,2017-01-17,Front,,Open,,Vacant,False,False,11336.0,S,FORRESTVILLE,AVE,60628.0,1181945.25491522,1829910.89929669,9.0,5.0,50.0,41.688497546078985,-87.60953338243598,"(41.688497546078985, -87.60953338243598)"
56866,Vacant/Abandoned Building,17-00142890,2017-01-09,Front,,Open,FRONT AND REAR,Vacant,True,False,1140.0,S,FRANCISCO,AVE,60612.0,1157197.42420904,1894971.68608422,28.0,11.0,29.0,41.867568757883184,-87.69837546938611,"(41.86756875788319, -87.69837546938611)"
56883,Vacant/Abandoned Building,17-00293860,2017-01-17,Front,,Open,,Vacant,False,False,7778.0,S,DANTE,AVE,60619.0,1186683.62508265,1853640.32882392,8.0,4.0,45.0,41.75350319353309,-87.59143805694185,"(41.75350319353309, -87.59143805694184)"
56884,Vacant/Abandoned Building,17-00300705,2017-01-17,Front,,Open,,Vacant,False,False,3803.0,W,OHIO,ST,60624.0,1150917.08607769,1903735.00891292,27.0,11.0,23.0,41.891741430686004,-87.72120230022018,"(41.89174143068601, -87.72120230022018)"
56890,Vacant/Abandoned Building,17-00328582,2017-01-19,Front,,Open,,Vacant,False,False,9612.0,S,DR MARTIN LUTHER KING JR,DR,60628.0,1180604.33712377,1841326.74978819,9.0,5.0,49.0,41.719854977339935,-87.61409332063324,"(41.719854977339935, -87.61409332063323)"
56891,Vacant/Abandoned Building,17-00226196,2017-01-13,Rear,,Open,REAR,Vacant,False,False,6745.0,S,HONORE,ST,60636.0,1165179.02767845,1859947.55348672,16.0,7.0,67.0,41.77129292926869,-87.6700662497973,"(41.77129292926869, -87.6700662497973)"
56895,Vacant/Abandoned Building,17-00355572,2017-01-20,Front,,Open,,Vacant,False,False,246.0,W,61ST,ST,60621.0,1175533.9329226,1864515.59008174,20.0,7.0,68.0,41.783602714118246,-87.63197233808071,"(41.78360271411824, -87.63197233808071)"
56896,Vacant/Abandoned Building,17-00299901,2017-01-17,Rear,,Open,,Vacant,False,True,9522.0,S,PRINCETON,AVE,60628.0,1175957.62548668,1841786.05462257,21.0,5.0,49.0,41.72122064019547,-87.63109911632755,"(41.72122064019547, -87.63109911632755)"
56897,Vacant/Abandoned Building,17-00218032,2017-01-12,Rear,,Open,REA,Vacant,False,True,2735.0,W,WARREN,BLVD,60612.0,1158138.28009569,1900240.61360414,27.0,12.0,27.0,41.882008060897476,-87.6947775196603,"(41.882008060897476, -87.69477751966029)"
56901,Vacant/Abandoned Building,17-00125847,2017-01-08,Rear,,Open,REAR,Vacant,True,False,8229.0,S,ELIZABETH,ST,60620.0,1169422.97897991,1850211.45701593,21.0,6.0,71.0,41.744484933972025,-87.6547909009778,"(41.744484933972025, -87.6547909009778)"
56902,Vacant/Abandoned Building,17-00226654,2017-01-13,Front,,Open,"WINDOWS, FRONT & REAR",Vacant,True,True,3829.0,S,WABASH,AVE,60653.0,1177355.32002004,1879625.47003326,3.0,2.0,35.0,41.825024653223046,-87.62483788292464,"(41.825024653223046, -87.62483788292464)"
56904,Vacant/Abandoned Building,17-00429908,2017-01-24,Front,,Open,,Vacant,False,False,6511.0,S,JUSTINE,ST,60636.0,1167125.61787888,1861549.7018298001,16.0,7.0,67.0,41.7756480141153,-87.66288493610435,"(41.7756480141153, -87.66288493610436)"
56905,Vacant/Abandoned Building,17-00295194,2017-01-17,Front,,Open,DOORS AND WINDOW,Vacant,False,False,1619.0,S,KARLOV,AVE,60623.0,1149319.81298055,1891604.07121224,24.0,10.0,29.0,41.85848386973424,-87.72738293352039,"(41.85848386973424, -87.72738293352039)"
56906,Vacant/Abandoned Building,17-00084896,2017-01-05,Rear,,Open,WATER LEAKING AT THE REAR INTO THE ALLEY,Vacant,False,False,2154.0,E,79TH,ST,60649.0,1192014.08408688,1853014.51548159,8.0,4.0,43.0,41.75165811389827,-87.57192449251859,"(41.75165811389827, -87.57192449251859)"
56918,Vacant/Abandoned Building,17-00478163,2017-01-26,Front,,Open,,Vacant,False,True,1556.0,E,93RD,ST,60619.0,1188190.1418948,1843622.55103113,8.0,4.0,48.0,41.72597763561519,-87.58623600402213,"(41.72597763561519, -87.58623600402213)"
56919,Vacant/Abandoned Building,17-00478880,2017-01-26,Front,,Open,,Vacant,False,False,11130.0,S,EGGLESTON,AVE,60628.0,1175273.79016909,1831098.06557575,34.0,22.0,49.0,41.691906538548004,-87.63392181382378,"(41.691906538548, -87.63392181382378)"
56920,Vacant/Abandoned Building,17-00432568,2017-01-24,Garage,,Open,GARAGE ONLY,Occupied,True,True,5835.0,S,NEW ENGLAND,AVE,60638.0,1131397.41367705,1865070.63832731,13.0,8.0,56.0,41.785999834952115,-87.79378241943317,"(41.78599983495212, -87.79378241943317)"
56921,Vacant/Abandoned Building,17-00457131,2017-01-25,Front,,Open,FRONT DOOR,Occupied,False,True,11132.0,S,EGGLESTON,AVE,60628.0,1175274.29016909,1831084.76557575,34.0,22.0,49.0,41.69187003019682,-87.63392037863102,"(41.691870030196824, -87.63392037863102)"
56922,Vacant/Abandoned Building,17-00458465,2017-01-25,Front,,Open,ALL,Vacant,False,True,7128.0,S,LANGLEY,AVE,60619.0,1182011.4757906,1857903.39432554,6.0,3.0,69.0,41.765310768686355,-87.60842794899669,"(41.76531076868635, -87.60842794899669)"
56923,Vacant/Abandoned Building,17-00459807,2017-01-25,Front,,Open,FRONT WINDOWS ON 2ND FLOOR,Vacant,False,False,7830.0,S,ST LAWRENCE,AVE,60619.0,1181590.72573142,1853220.83060754,6.0,6.0,69.0,41.75247104311092,-87.61011440142639,"(41.75247104311092, -87.61011440142639)"
56924,Vacant/Abandoned Building,17-00246840,2017-01-14,Rear,,Open,NONE,Vacant,False,False,6402.0,S,INGLESIDE,AVE,60637.0,1183826.21332029,1862724.56730184,20.0,3.0,42.0,41.778498357223114,-87.60162610906093,"(41.77849835722312, -87.60162610906094)"
56925,Vacant/Abandoned Building,17-00281290,2017-01-16,Front,,Open,FRONT FOOR,Vacant,True,False,6448.0,S,EBERHART,AVE,60637.0,1180686.131311,1862365.13301067,20.0,3.0,42.0,41.777584776864366,-87.6131487585775,"(41.77758477686437, -87.6131487585775)"
56926,Vacant/Abandoned Building,17-00168686,2017-01-10,,,,,,,,6826.0,S,LANGLEY,AVE,60637.0,1182068.13819737,1859905.4535014,20.0,3.0,42.0,41.77080330729925,-87.60815839637537,"(41.77080330729925, -87.60815839637537)"
56928,Vacant/Abandoned Building,17-00542211,2017-01-30,Front,,Open,,Vacant,False,False,7327.0,S,PAXTON,AVE,60649.0,1192153.2209961,1856810.78733152,7.0,3.0,43.0,41.76207201411498,-87.5712914035733,"(41.76207201411498, -87.57129140357331)"
56929,Vacant/Abandoned Building,17-00542212,2017-01-30,Front,,Open,,Vacant,False,False,7531.0,S,COLFAX,AVE,60649.0,1194820.02070806,1855526.15987294,7.0,4.0,43.0,41.758481656983264,-87.56155969009926,"(41.758481656983264, -87.56155969009926)"
56930,Vacant/Abandoned Building,17-00428451,2017-01-24,Front,,Open,,Vacant,False,False,6548.0,S,SANGAMON,ST,60621.0,1171102.08859239,1861409.01852288,6.0,7.0,68.0,41.77517596698362,-87.64831172256729,"(41.77517596698362, -87.6483117225673)"
56931,Vacant/Abandoned Building,17-00437114,2017-01-24,Front,,Open,ALL DOORS AND WINDOWS,Vacant,False,False,2517.0,W,63RD,ST,60629.0,1160604.22306854,1862798.92338313,16.0,8.0,66.0,41.77921308116708,-87.6867573832724,"(41.77921308116708, -87.68675738327241)"
56932,Vacant/Abandoned Building,17-00452849,2017-01-25,Front,,Open,REAR OPEN,Vacant,False,False,11115.0,S,EGGLESTON,AVE,60628.0,1175270.29016909,1831198.46557575,34.0,22.0,49.0,41.69218212930216,-87.63393164320559,"(41.692182129302154, -87.6339316432056)"
56933,Vacant/Abandoned Building,17-00410887,2017-01-23,Front,,Open,ALL AROUND,Vacant,False,True,6552.0,S,ROSS,AVE,60621.0,1176072.55599472,1861889.99820934,20.0,7.0,68.0,41.776385736841995,-87.6300762948677,"(41.776385736842, -87.6300762948677)"
56934,Vacant/Abandoned Building,17-00292279,2017-01-17,Front,,Open,,Vacant,False,False,5346.0,S,UNION,AVE,60609.0,1172541.08461947,1869425.31918872,20.0,9.0,61.0,41.797142012581475,-87.64280054928206,"(41.797142012581475, -87.64280054928207)"
56939,Vacant/Abandoned Building,17-00544135,2017-01-30,Front,,Open,,Vacant,False,True,11819.0,S,LAFAYETTE,AVE,60628.0,1178037.65540593,1826594.09659477,34.0,5.0,53.0,41.679484951824726,-87.62393876587542,"(41.67948495182473, -87.62393876587542)"
56944,Vacant/Abandoned Building,17-00588264,2017-02-01,Rear,,Open,REAR,Vacant,True,False,6214.0,S,VERNON,AVE,60637.0,1180318.20561833,1863908.4041808997,20.0,3.0,42.0,41.781828110963815,-87.61445026720195,"(41.78182811096381, -87.61445026720193)"
56945,Vacant/Abandoned Building,17-00569457,2017-01-31,Front,,Open,,Vacant,False,False,2438.0,W,48TH,ST,60632.0,1160922.5410733998,1872786.72997241,15.0,9.0,58.0,41.806614365288354,-87.68531438239047,"(41.806614365288354, -87.68531438239049)"
56946,Vacant/Abandoned Building,17-00083292,2017-01-05,Front,,Open,,Vacant,True,False,6538.0,S,HONORE,ST,60636.0,1165137.460275,1861318.86347732,15.0,7.0,67.0,41.775056865719726,-87.6701798609749,"(41.775056865719726, -87.6701798609749)"
56953,Vacant/Abandoned Building,17-00554191,2017-01-30,Front,,Open,FRONT DOOR,Vacant,False,True,9945.0,S,HOXIE,AVE,60617.0,1195111.03230572,1839526.65360596,7.0,4.0,51.0,41.71457048800703,-87.56101936785936,"(41.71457048800702, -87.56101936785936)"
56954,Vacant/Abandoned Building,17-00566414,2017-01-31,Front,,Open,ALL OVER,Vacant,False,False,9556.0,S,BENNETT,AVE,60617.0,1190518.19007718,1841976.18721704,7.0,4.0,51.0,41.72140408414344,-87.57776126832589,"(41.72140408414344, -87.57776126832587)"
56955,Vacant/Abandoned Building,17-00590368,2017-02-01,Front,,Open,,Vacant,False,False,11726.0,S,VINCENNES,AVE,60643.0,1165515.0451896002,1827087.8280935,34.0,22.0,75.0,41.68111363441936,-87.66976305139075,"(41.68111363441936, -87.66976305139075)"
56956,Vacant/Abandoned Building,17-00594928,2017-02-01,Front,,Open,,Vacant,False,False,2819.0,W,JACKSON,BLVD,60612.0,1157560.99852667,1898566.91481818,27.0,11.0,27.0,41.87742703737449,-87.69694286917,"(41.87742703737449, -87.69694286917)"
56957,Vacant/Abandoned Building,17-00404503,2017-01-23,Front,,Open,FRONT WINDOWS BROKEN,Vacant,False,False,9949.0,S,YATES,AVE,60617.0,1194134.1269269,1839474.09709144,7.0,4.0,51.0,41.7144502582508,-87.56459885558546,"(41.7144502582508, -87.56459885558546)"
56958,Vacant/Abandoned Building,17-00454911,2017-01-25,Front,,Boarded,,Vacant,False,True,4045.0,W,WILCOX,ST,60624.0,1149447.55756937,1899028.8821832,28.0,11.0,26.0,41.87885594663256,-87.72672143243187,"(41.878855946632555, -87.72672143243187)"
56959,Vacant/Abandoned Building,17-00457825,2017-01-25,Rear,,Open,,Vacant,False,False,9718.0,S,JEFFERY,AVE,60617.0,1191209.89220855,1840925.03012119,7.0,4.0,51.0,41.718502914911475,-87.57526163985102,"(41.718502914911475, -87.57526163985102)"
56975,Vacant/Abandoned Building,17-00594225,2017-02-01,,,,,,,,7941.0,S,SAGINAW,AVE,60617.0,1195226.55990563,1852824.9647018998,7.0,4.0,46.0,41.75105935549406,-87.56015875520353,"(41.751059355494064, -87.56015875520353)"
56976,Vacant/Abandoned Building,17-00624617,2017-02-03,Front,,Open,,Vacant,False,False,8449.0,S,GILBERT,CT,60620.0,1172924.69001047,1848492.35998352,21.0,6.0,71.0,41.73969101634929,-87.64201082875977,"(41.73969101634929, -87.64201082875977)"
56977,Vacant/Abandoned Building,17-00515882,2017-01-28,Rear,,Open,,Vacant,False,True,5114.0,S,THROOP,ST,60609.0,1168526.4862743,1870857.33130454,20.0,9.0,61.0,41.80115916871151,-87.65748127315241,"(41.80115916871151, -87.6574812731524)"
56978,Vacant/Abandoned Building,17-00548133,2017-01-30,,,,,,,,9610.0,S,LUELLA,AVE,60617.0,1192947.219484,1841865.61346799,7.0,4.0,51.0,41.72104181330771,-87.56886795094343,"(41.721041813307714, -87.56886795094343)"
56979,Vacant/Abandoned Building,17-00591081,2017-02-01,,,,,,,,7057.0,N,RAVENSWOOD,AVE,60626.0,1163063.0300285,1947105.62747626,49.0,24.0,1.0,42.010506175050246,-87.67537289087448,"(42.01050617505024, -87.67537289087448)"
56980,Vacant/Abandoned Building,17-00431741,2017-01-24,Front,,Boarded,,Vacant,False,False,8741.0,S,COLFAX,AVE,60617.0,1195007.400015,1847518.29990621,7.0,4.0,46.0,41.736502837023814,-87.56113635234718,"(41.736502837023814, -87.56113635234719)"
56981,Vacant/Abandoned Building,17-00432451,2017-01-24,Front,,Open,,Occupied,False,True,5234.0,S,SANGAMON,ST,60609.0,1170866.11007381,1870111.11612206,20.0,9.0,61.0,41.79906067221538,-87.64892285013373,"(41.79906067221538, -87.64892285013372)"
56982,Vacant/Abandoned Building,17-00314434,2017-01-18,Front,,Open,NOT BOARDED UP AT ALL,Vacant,True,True,4733.0,S,PAULINA,ST,60609.0,1165807.94247895,1873319.49456932,20.0,9.0,61.0,41.80797385531807,-87.6673811812064,"(41.80797385531806, -87.6673811812064)"
56983,Vacant/Abandoned Building,17-00223978,2017-01-13,Rear,,Boarded,REAR DOOR IS OPEN,Vacant,False,True,9350.0,S,LUELLA,AVE,60617.0,1192796.56660298,1843741.45409541,7.0,4.0,48.0,41.72619297054421,-87.56935877512029,"(41.72619297054421, -87.5693587751203)"
56984,Vacant/Abandoned Building,17-00256334,2017-01-15,Front,,Open,FRONT AND REAR,Vacant,False,True,315.0,W,59TH,PL,60621.0,1175216.57842133,1865502.40587363,20.0,7.0,68.0,41.78631773888964,-87.63310640059768,"(41.78631773888965, -87.63310640059768)"
56985,Vacant/Abandoned Building,17-00292270,2017-01-17,Rear,,Open,,Vacant,False,False,5204.0,S,CARPENTER,ST,60609.0,1170196.58331295,1870298.91707998,20.0,9.0,61.0,41.79959062084104,-87.65137269283501,"(41.79959062084104, -87.651372692835)"
56986,Vacant/Abandoned Building,17-00292274,2017-01-17,Rear,,Open,,Vacant,True,False,845.0,W,51ST,PL,60609.0,1171542.64246964,1870697.90002586,20.0,9.0,61.0,41.80065606157859,-87.64642465783432,"(41.80065606157859, -87.64642465783432)"
57007,Vacant/Abandoned Building,17-00665633,2017-02-06,Front,,Open,,Vacant,False,False,3123.0,W,AUGUSTA,BLVD,60622.0,1155326.63391524,1906489.18428685,26.0,12.0,23.0,41.899211678762605,-87.70493385919565,"(41.89921167876261, -87.70493385919565)"
57008,Vacant/Abandoned Building,17-00666251,2017-02-06,Front,,Open,,Vacant,False,False,7718.0,S,ESSEX,AVE,60649.0,1194200.76770487,1854274.33200882,7.0,4.0,43.0,41.75506176755728,-87.56387019054674,"(41.75506176755728, -87.56387019054675)"
57009,Vacant/Abandoned Building,17-00494368,2017-01-27,Front,,Open,BACK ENTRANCE,Vacant,False,True,8533.0,S,SAGINAW,AVE,60617.0,1195310.57656607,1848905.76637928,7.0,4.0,46.0,41.74030269058829,-87.5599799586523,"(41.74030269058829, -87.5599799586523)"
57010,Vacant/Abandoned Building,17-00026275,2017-01-02,Rear,,Open,,Vacant,False,True,3520.0,W,BELDEN,AVE,60647.0,1152883.2057892,1915072.41621935,35.0,14.0,22.0,41.92281360331314,-87.71368080171949,"(41.92281360331314, -87.7136808017195)"
57030,Vacant/Abandoned Building,17-00144091,2017-01-09,Front,,Boarded,,Vacant,False,True,12207.0,S,LOOMIS,ST,60643.0,1169210.60137492,1823800.38349483,34.0,5.0,53.0,41.67201342039032,-87.65632990776042,"(41.672013420390314, -87.65632990776044)"
57041,Vacant/Abandoned Building,17-00703456,2017-02-08,Front,,Open,,Vacant,False,False,4908.0,N,MILWAUKEE,AVE,60630.0,1139469.24733145,1932150.07017613,45.0,16.0,11.0,41.96993176097255,-87.76255084680108,"(41.96993176097255, -87.76255084680108)"
57042,Vacant/Abandoned Building,17-00704671,2017-02-08,Front,,Open,,Vacant,False,False,7431.0,S,KENWOOD,AVE,60619.0,1186496.58227614,1855994.06201653,8.0,3.0,43.0,41.7599664846071,-87.59204916843866,"(41.759966484607084, -87.59204916843866)"
57043,Vacant/Abandoned Building,17-00547251,2017-01-30,Front,,Open,,Vacant,False,False,8001.0,S,SAGINAW,AVE,60617.0,1195234.80089515,1852430.26677799,7.0,4.0,46.0,41.749976070556826,-87.56014155434146,"(41.74997607055683, -87.56014155434146)"
57044,Vacant/Abandoned Building,17-00611367,2017-02-02,,,,,,,,8730.0,S,BALTIMORE,AVE,60617.0,1198408.6600666,1847680.13569962,10.0,4.0,46.0,41.73686250767226,-87.54867013946905,"(41.73686250767226, -87.54867013946904)"
57046,Vacant/Abandoned Building,17-00707226,2017-02-08,Front,,Open,,Vacant,False,False,11535.0,S,VINCENNES,AVE,60643.0,1165994.49709417,1828236.52883253,34.0,22.0,75.0,41.68425572359571,-87.66797552688288,"(41.68425572359571, -87.66797552688287)"
57047,Vacant/Abandoned Building,17-00589907,2017-02-01,Front,,Open,,Vacant,False,False,6216.0,S,VERNON,AVE,60637.0,1180318.60561833,1863895.0041808998,20.0,3.0,42.0,41.781791330893974,-87.61444921143841,"(41.78179133089398, -87.61444921143841)"
57048,Vacant/Abandoned Building,17-00590435,2017-02-01,Front,,Open,,Vacant,False,False,4202.0,S,VINCENNES,AVE,60653.0,1180390.91963319,1877246.53076978,3.0,2.0,38.0,41.81842742812778,-87.6137743250708,"(41.81842742812778, -87.6137743250708)"
57049,Vacant/Abandoned Building,17-00591798,2017-02-01,,,,,,,,5940.0,S,LA SALLE,ST,60621.0,1176318.40763306,1865601.66532397,20.0,2.0,68.0,41.78656542203975,-87.62906357936994,"(41.78656542203975, -87.62906357936996)"
57050,Vacant/Abandoned Building,17-00456690,2017-01-25,,,,,,,,8731.0,S,WABASH,AVE,60619.0,1178236.82038827,1847119.60017397,9.0,6.0,44.0,41.735805245547034,-87.6225896241143,"(41.73580524554704, -87.6225896241143)"
57051,Vacant/Abandoned Building,17-00477140,2017-01-26,Front,,Boarded,,Vacant,False,False,3036.0,N,KOSTNER,AVE,60641.0,1146520.38498501,1919828.72308341,31.0,25.0,20.0,41.935989141069925,-87.73693854896854,"(41.93598914106992, -87.73693854896854)"
57052,Vacant/Abandoned Building,17-00302029,2017-01-17,Front,,Boarded,,Vacant,False,True,11850.0,S,WATKINS,AVE,60643.0,1165620.94342353,1826462.05858436,34.0,22.0,75.0,41.67939417329392,-87.66939305879797,"(41.679394173293915, -87.66939305879797)"
57053,Vacant/Abandoned Building,17-00085782,2017-01-05,,,,,,,,217.0,E,134TH,ST,60827.0,1180127.44907944,1816530.57997074,9.0,5.0,54.0,41.65182164740096,-87.61659562432568,"(41.65182164740096, -87.61659562432567)"
57054,Vacant/Abandoned Building,17-00204618,2017-01-12,Front,,Open,FRONT,Vacant,False,False,8151.0,S,BURNHAM,AVE,60617.0,1196249.6700306002,1851460.70827345,7.0,4.0,46.0,41.747290441921685,-87.55645479091801,"(41.747290441921685, -87.55645479091802)"
57055,Vacant/Abandoned Building,17-00297831,2017-01-17,Rear,,Boarded,,Vacant,False,False,8508.0,S,PHILLIPS,AVE,60617.0,1193979.12940895,1849037.2837193,7.0,4.0,46.0,41.7406963153994,-87.5648538268927,"(41.7406963153994, -87.5648538268927)"
57078,Vacant/Abandoned Building,17-00693251,2017-02-07,,,,,,,,10655.0,S,AVENUE L,,60617.0,1201851.07408073,1834909.38023192,10.0,4.0,52.0,41.70173175557447,-87.53649157749683,"(41.70173175557447, -87.53649157749683)"
57079,Vacant/Abandoned Building,17-00588745,2017-02-01,,,,,,,,3053.0,N,HONORE,ST,60657.0,1163580.56179655,1920388.71007018,32.0,19.0,5.0,41.93718298847136,-87.67422501847588,"(41.937182988471356, -87.67422501847587)"
57080,Vacant/Abandoned Building,17-00609735,2017-02-02,Front,,Open,,Vacant,False,False,11759.0,S,HALSTED,ST,60628.0,1173104.83460678,1826821.79006633,34.0,5.0,53.0,41.68021981343925,-87.64198827372925,"(41.68021981343925, -87.64198827372925)"
57081,Vacant/Abandoned Building,17-00611068,2017-02-02,Front,,Open,OPEN BUILDING PEOPLE ARE GOIGN IN AND OUT,Vacant,False,True,13735.0,S,LEYDEN,AVE,60827.0,1180260.23980323,1814385.18880348,9.0,5.0,54.0,41.645931317432904,-87.61617506293787,"(41.64593131743291, -87.61617506293787)"
57082,Vacant/Abandoned Building,17-00512147,2017-01-28,Front,,Open,,Vacant,False,False,7241.0,S,MORGAN,ST,60621.0,1170896.62437301,1856808.19110488,6.0,7.0,68.0,41.76255521886797,-87.6491990823255,"(41.76255521886798, -87.6491990823255)"
57083,Vacant/Abandoned Building,17-00310682,2017-01-18,Front,,Boarded,,Vacant,False,False,7720.0,S,EMERALD,AVE,60620.0,1172639.22356855,1853673.9102983996,17.0,6.0,71.0,41.75391615274938,-87.64290440305834,"(41.75391615274938, -87.64290440305835)"
57094,Vacant/Abandoned Building,17-00801795,2017-02-13,Rear,,Open,REAR BASEMENT AND 1ST FL DOOR,Vacant,True,False,4526.0,S,CALUMET,AVE,60653.0,1179191.19452011,1875080.30782257,3.0,2.0,38.0,41.812510618183715,-87.61824141080568,"(41.81251061818372, -87.61824141080568)"
57095,Vacant/Abandoned Building,17-00710210,2017-02-08,Rear,,Boarded,,Vacant,False,False,9334.0,S,CRANDON,AVE,60617.0,1193136.13990163,1843521.99207123,7.0,4.0,48.0,41.7255824691991,-87.5681220596022,"(41.7255824691991, -87.5681220596022)"
57096,Vacant/Abandoned Building,17-00726033,2017-02-09,Front,,Open,REAR,Vacant,False,False,1215.0,W,111TH,ST,60643.0,1170205.07317041,1831176.97740926,34.0,22.0,75.0,41.692234525571536,-87.65247677241267,"(41.69223452557153, -87.65247677241265)"
57097,Vacant/Abandoned Building,17-00740069,2017-02-10,Front,,Open,,Vacant,False,False,8238.0,S,EAST END,AVE,60617.0,1189029.09031025,1850693.14910217,8.0,4.0,45.0,41.74536003714703,-87.58293710331591,"(41.74536003714703, -87.5829371033159)"
57098,Vacant/Abandoned Building,17-00588483,2017-02-01,Front,,Open,ALL,Vacant,False,True,9802.0,S,VAN VLISSINGEN,RD,60617.0,1191117.50738374,1840382.94992812,7.0,4.0,51.0,41.71701762268787,-87.57561748059673,"(41.71701762268787, -87.57561748059673)"
57099,Vacant/Abandoned Building,17-00616016,2017-02-02,Front,,Open,REAR DOOR,Vacant,True,True,4454.0,W,BELMONT,AVE,60641.0,1146035.30458246,1920900.54097696,30.0,17.0,16.0,41.93893955223497,-87.73869395669567,"(41.93893955223497, -87.73869395669567)"
57100,Vacant/Abandoned Building,17-00194690,2017-01-11,Front,,Boarded,ALL AROUND,Vacant,False,True,6544.0,S,WINCHESTER,AVE,60636.0,1164482.30980603,1861262.28881966,15.0,7.0,67.0,41.774915455517146,-87.67258315441731,"(41.774915455517146, -87.67258315441731)"
57101,Vacant/Abandoned Building,17-00317797,2017-01-18,Rear,,Open,FRONT ENTRANCE,Vacant,True,False,8051.0,S,BURNHAM,AVE,60617.0,1196235.46107052,1852122.6503836997,7.0,4.0,46.0,41.74910721360846,-87.55648495655825,"(41.74910721360846, -87.55648495655825)"
